电影名,电影年份,电影封面,导演,得分,评价人数,精彩评论
肖申克的救赎 The Shawshank Redemption,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,弗兰克·德拉邦特,9.7,2944933人评价,希望让人自由。
霸王别姬,(1993),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,陈凯歌,9.6,2175719人评价,风华绝代。
阿甘正传 Forrest Gump,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,罗伯特·泽米吉斯,9.5,2194937人评价,一部美国近现代史。
泰坦尼克号 Titanic,(1997),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896604953.jpg,詹姆斯·卡梅隆,9.5,2228722人评价,失去的才是永恒的。
这个杀手不太冷 Léon,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,吕克·贝松,9.4,2326955人评价,怪蜀黍和小萝莉不得不说的故事。
千与千寻 千と千尋の神隠し,(2001),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,宫崎骏,9.4,2278543人评价,最好的宫崎骏，最好的久石让。
美丽人生 La vita è bella,(1997),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,罗伯托·贝尼尼,9.5,1346217人评价,最美的谎言。
星际穿越 Interstellar,(2014),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,克里斯托弗·诺兰,9.4,1884387人评价,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间 Inception,(2010),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,克里斯托弗·诺兰,9.4,2099125人评价,诺兰给了我们一场无法盗取的梦。
辛德勒的名单 Schindler's List,(1993),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,史蒂文·斯皮尔伯格,9.5,1137037人评价,拯救一个人，就是拯救整个世界。
楚门的世界 The Truman Show,(1998),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,彼得·威尔,9.4,1747200人评价,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事 Hachi: A Dog's Tale,(2009),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,拉斯·霍尔斯道姆,9.4,1416538人评价,永远都不能忘记你所爱的人。
海上钢琴师 La leggenda del pianista sull'oceano,(1998),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,朱塞佩·托纳多雷,9.3,1702034人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
三傻大闹宝莱坞 3 Idiots,(2009),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,拉吉库马尔·希拉尼,9.2,1885361人评价,英俊版憨豆，高情商版谢耳朵。
放牛班的春天 Les choristes,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,克里斯托夫·巴哈蒂,9.3,1332726人评价,天籁一般的童声，是最接近上帝的存在。
机器人总动员 WALL·E,(2008),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,安德鲁·斯坦顿,9.3,1336645人评价,小瓦力，大人生。
疯狂动物城 Zootopia,(2016),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589742.jpg,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,9.2,1976645人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
